epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,6118.45,0.76266,0.62142,1.36675,0.74757,0.74024,0.78136,0.42067,1.61546,1.10387,2.67291,0.000165017,0.000165017,0.000165017
83,6192.91,0.7664,0.6218,1.36281,0.82982,0.67187,0.76815,0.42525,1.61102,1.12056,2.637,0.000156771,0.000156771,0.000156771
84,6267.73,0.75033,0.59419,1.35499,0.76289,0.71329,0.76317,0.41731,1.62984,1.12637,2.69925,0.000148524,0.000148524,0.000148524
85,6342.17,0.74897,0.60231,1.34825,0.73056,0.73353,0.76356,0.41141,1.61589,1.14663,2.67408,0.000140277,0.000140277,0.000140277
86,6416.63,0.73388,0.57654,1.33259,0.77266,0.71783,0.77223,0.42458,1.62408,1.08547,2.72195,0.000132031,0.000132031,0.000132031
87,6491.37,0.71152,0.58031,1.31369,0.75859,0.74742,0.77883,0.42914,1.6147,1.06938,2.69481,0.000123784,0.000123784,0.000123784
88,6566.15,0.72878,0.5795,1.32723,0.80814,0.70985,0.78208,0.43665,1.61252,1.10042,2.70662,0.000115537,0.000115537,0.000115537
89,6640.55,0.70683,0.56804,1.31004,0.79253,0.72639,0.78477,0.4346,1.61676,1.11074,2.68823,0.00010729,0.00010729,0.00010729
90,6714.29,0.71046,0.57215,1.30856,0.80282,0.69753,0.7773,0.42668,1.61514,1.15085,2.69592,9.90437e-05,9.90437e-05,9.90437e-05
91,6788.61,0.57755,0.36413,1.19287,0.77157,0.71468,0.77485,0.4258,1.62358,1.14539,2.75131,9.0797e-05,9.0797e-05,9.0797e-05
92,6863.1,0.54771,0.34178,1.16596,0.79074,0.72081,0.78646,0.42528,1.63778,1.10967,2.81413,8.25503e-05,8.25503e-05,8.25503e-05
93,6936.96,0.54311,0.34081,1.15966,0.75275,0.74646,0.78321,0.42536,1.62668,1.12265,2.80197,7.43036e-05,7.43036e-05,7.43036e-05
94,7010.3,0.53969,0.33611,1.16432,0.7579,0.72749,0.77884,0.43141,1.62398,1.12743,2.82689,6.60569e-05,6.60569e-05,6.60569e-05
95,7083.68,0.5497,0.35076,1.17653,0.77985,0.72793,0.77432,0.42803,1.61567,1.12541,2.81267,5.78102e-05,5.78102e-05,5.78102e-05
96,7157.19,0.5278,0.33083,1.14114,0.76729,0.7415,0.78088,0.42619,1.61371,1.15003,2.81701,4.95635e-05,4.95635e-05,4.95635e-05
97,7230.56,0.4964,0.3185,1.10924,0.80791,0.71598,0.78675,0.42744,1.61885,1.12387,2.85097,4.13168e-05,4.13168e-05,4.13168e-05
98,7304.11,0.49294,0.31296,1.10959,0.78288,0.73034,0.77875,0.41943,1.61228,1.11984,2.84386,3.30701e-05,3.30701e-05,3.30701e-05
99,7377.92,0.48346,0.30781,1.10519,0.79036,0.71924,0.78154,0.42888,1.61698,1.15026,2.84781,2.48234e-05,2.48234e-05,2.48234e-05
100,7451.33,0.47571,0.28574,1.08091,0.7379,0.74663,0.78022,0.42375,1.61446,1.14364,2.87256,1.65767e-05,1.65767e-05,1.65767e-05
